interview,dim,question,type,excerpt,paraphrase,ts,keywords,maturity,alignment,confidence
ENT-016,1.1.7,PRI4,lacuna,"[participante]: «quando chega, chega sempre de surpresa. Vai ter amanhã um alerta de vendaval, tá, beleza — mas o que a cidade vai fazer? Não vai fazer nada, porque ela não se preparou com tempo suficiente (…) você não resolve de um dia para o outro, você tem que ter um trabalho constante e permanente»","LACUNA DE PREPARO, COM O NEXO EXATO. O alerta existe e não encontra estrutura de resposta preventiva, porque a preparação exige manutenção contínua e não ação de véspera. É precisamente a lacuna que a rede de estações meteorológicas e o cadastro arbóreo de ENT-015 pretendem fechar — e mostra que o dado sozinho não resolve. SESSÃO SEM TCLE.",00:17:45,alerta|preparo|manutencao|prevencao|resposta,inexistente,convergente,alta
ENT-016,2.1.5,PRI3,oportunidade,"[participante]: «questão da destinação do lixo (…) a gente visitou usinas de reciclagem no Japão (…) aproveita-se tudo, transforma-se tudo (…) eu me sinto incomodado de ter um lixão ainda na cidade»","Prioridade de investimento apontada pelo setor privado: encerramento do aterro e usina de tratamento com recuperação de material. Converge com o programa de resíduos descrito em ENT-008 e ENT-013 — e mostra que a agenda de resíduos tem apoio empresarial declarado, o que a torna a candidata mais viável a investimento privado. SESSÃO SEM TCLE.",00:15:38,residuos|aterro|reciclagem|usina|investimento|economia circular,inexistente,convergente,alta
ENT-016,4.2.2,PRI5,declaracao,"[participante]: «quando eu estava na presidência [da associação], nós chegamos, naquele ano, a ser o município do Brasil com maior número de empresas filiadas ao Pacto Global da ONU. Então o empresariado local é aderente à questão ambiental, não só ambiental, mas também [às] ODS»",ACHADO. Maringá teria liderado o país em adesão empresarial ao Pacto Global da ONU. É a evidência mais forte do corpus sobre maturidade do setor privado local em agenda ambiental — e um ativo de credibilidade diretamente utilizável na estruturação de arranjos de financiamento privado. Verificar o dado na Matriz 2. SESSÃO SEM TCLE.,00:19:05,Pacto Global|ODS|setor privado|adesao|referencia nacional,efetivo,convergente,alta
ENT-016,4.2.3,PRI7,declaracao,"[participante]: «nós temos 400 voluntários lá dentro, que doam o nosso tempo para a entidade, divididos em câmaras técnicas (…) o tema ambiental acaba sendo um tema transversal, porque todo mundo tem algum impacto (…) o meio ambiente está sempre sendo discutido em quase todas as câmaras técnicas»","ESTRUTURA DISPONÍVEL E JÁ TRANSVERSAL. Conselho de desenvolvimento econômico com quatrocentos voluntários organizados em câmaras técnicas setoriais, com pauta ambiental já presente de forma transversal. Confirma e qualifica a proposta de ENT-005 de levar a agenda climática a essa instância: a transversalidade já existe, falta a pauta ser explícita e deliberativa. SESSÃO SEM TCLE.",00:19:05,conselho|voluntarios|camaras tecnicas|transversalidade|governanca,efetivo,convergente,alta
ENT-016,4.2.3,PRI7,declaracao,[participante]: «a gente não tem nenhum tipo de recurso próprio lá como entidade. A gente é formatado por membros da sociedade civil organizada e por membros da própria prefeitura»,"Composição mista e ausência de recurso próprio da entidade. Diverge do relato de ENT-005, segundo o qual há lei municipal que financia secretaria executiva e corpo técnico do conselho. A divergência importa: define se a instância teria ou não meios para assumir uma pauta climática. Verificar a lei na Matriz 2. SESSÃO SEM TCLE.",00:19:05,conselho|financiamento|composicao|estrutura|divergencia,formalizado,divergente,media
ENT-016,4.2.3,PRI7,lacuna,"[participante]: «acho que eles precisam ser fortalecidos (…) o município tem assim um ouvido, mas eu acho que tinha que ter uma oitiva mais aberta (…) não é só uma visão unilateral de um servidor público que acha que tem problema ambiental de todas as maneiras, sem ouvir o todo para poder trazer as soluções»",O canal de diálogo entre setor privado organizado e administração ambiental é avaliado como insuficiente. Converge com a carta sem resposta de ENT-007 e as 25 propostas sem desdobramento de ENT-009 — três setores distintos relatando ausência de fluxo institucional de recepção e resposta a proposta externa. SESSÃO SEM TCLE.,00:28:43,dialogo|conselho|recepcao|participacao|resposta institucional,inexistente,convergente,alta
ENT-016,4.2.2,PRI7,declaracao,"[participante]: «dos maiores ativos de Maringá se chama associativismo e cooperativismo (…) a sociedade civil e o município trabalhando juntos. Não importa quem seja o governante, não importa qual seja a ideologia: se está na cadeira, a gente está lá para ajudar»","Terceira confirmação do capital associativo como principal ativo da cidade (com ENT-005 e ENT-007), com o acréscimo decisivo de que ele é apartidário e sobrevive à alternância. É a condição habilitante mais resistente à descontinuidade identificada no corpus — e a única que não depende de quem governa. SESSÃO SEM TCLE.",00:30:09,associativismo|cooperativismo|continuidade|sociedade civil|ativo,efetivo,convergente,alta
ENT-016,4.1.4,PRI8,lacuna,"[participante]: «Maringá é um pouco isolada em relação ao seu entorno nesse espírito associativista e cooperativista. Nós não temos uma região com espírito associativista regional tão forte quanto a região do sudoeste [do estado] (…) Maringá [é] um epicentro estadual, mas não consegue que todas as cidades vizinhas tenham [o mesmo]»","ACHADO SOBRE A ESCALA REGIONAL. O capital associativo de Maringá não se estende aos municípios vizinhos, ao contrário de outra região do mesmo estado. Converge com ENT-009 (vizinhos sem estrutura ambiental) e com ENT-014 (a distinção em relação ao entorno é socialmente valorizada): o principal ativo institucional da cidade termina no seu limite municipal, e é isso que trava a cooperação regional. SESSÃO SEM TCLE.",00:32:39,cooperacao regional|associativismo|isolamento|municipios vizinhos|escala,inexistente,convergente,alta
ENT-016,4.1.1,PRI8,declaracao,"[participante]: «o estado do Paraná é um estado muito organizado, muito estruturado. Você tem realmente a proteção das matas nas áreas agrícolas de uma maneira muito rigorosa, não importa qual município (…) porque existe uma [regul]ação estadual muito forte»","Avaliação positiva da regulação ambiental estadual, com aplicação uniforme no território. Registra o Estado como ente com capacidade regulatória efetiva — condição habilitante vertical que contrasta com a fragilidade de fiscalização municipal apontada em ENT-009 e ENT-016. Dimensão «Muito alta». SESSÃO SEM TCLE.",00:32:39,governo estadual|regulacao|fiscalizacao|mata|coordenacao vertical,em_implementacao,complementar,media
ENT-016,2.3.3,PRI6,oportunidade,"[participante]: «Maringá tem um ativo importante hoje, que é área ambiental (…) mas que ativo ligado à área ambiental eu consigo levar também para gerar mais [arrecadação] do turismo? (…) isso vai impactar positivamente na nova reforma tributária para o município»","OPORTUNIDADE FISCAL. Conversão do patrimônio ambiental em atrativo turístico, com efeito sobre a arrecadação municipal na nova estrutura tributária. É uma rota de monetização do ativo verde que nenhuma outra sessão levanta, e que alinha conservação a receita própria — exatamente o que a dimensão de diversificação de receitas ambientais requer. SESSÃO SEM TCLE.",00:15:38,turismo|reforma tributaria|ativo ambiental|receita|arrecadacao|diversificacao,inexistente,isolada,alta
ENT-016,2.1.5,PRI3,oportunidade,"[participante]: «viabilizar as pessoas terem algo lá para valorizar a interação da comunidade com o fundo de vale (…) vai ter projeto de arborismo, vai ter projeto de trilha suspensa na mata. São coisas que geram atratividade para o município»","Convergência espontânea com o projeto de passarela suspensa em bosque urbano descrito em ENT-015 — que está pronto e sem recurso. O setor privado organizado sinaliza interesse no mesmo tipo de intervenção, o que abre caminho para financiamento compartilhado do projeto já elaborado. SESSÃO SEM TCLE.",00:26:38,trilha suspensa|fundo de vale|uso publico|turismo|investimento|projeto,inexistente,convergente,alta
ENT-016,4.2.1,PRI2,percepcao,"[participante]: «não é proibir o uso — a forma de chegar lá é que vai resolver o problema. Pelo contrário: porque ali você não leva o meio ambiente para as pessoas, você afasta as pessoas do meio ambiente»","Tese sobre o desenho da política de conservação: a restrição absoluta de uso reduz o apoio social à própria conservação. Dialoga diretamente com a lacuna de percepção causa–consequência apontada em ENT-008 — se o cidadão não interage com o ativo, não o defende. SESSÃO SEM TCLE.",00:13:07,conservacao|uso publico|apoio social|percepcao|politica ambiental,em_implementacao,complementar,alta
ENT-016,1.2.2,PRI2,percepcao,"[participante]: «não é que o ambiental atrapalha o econômico, mas o ambiental sem celeridade, sem uma regra clara, sem velocidade, ele interfere de maneira negativa»","Formulação precisa da posição do setor privado: o problema não é a exigência ambiental, é a imprevisibilidade de prazo e de critério na sua aplicação. Converge com ENT-015, que trata a eliminação da subjetividade nas compensações como forma de reduzir resistência privada — os dois lados descrevem a mesma solução. SESSÃO SEM TCLE.",00:10:37,celeridade|previsibilidade|regra clara|licenciamento|setor privado,inexistente,convergente,alta
ENT-016,2.4.1,PRI6,oportunidade,"[participante]: «aí as empresas entram botando mais dinheiro (…) eu posso usar isso como um brand meu, de empresa socialmente responsável, ligada ao meio ambiente (…) tem muito espaço para o incentivo às empresas adotarem ações ambientais de fato»","O retorno reputacional é apontado como motor do investimento privado ambiental, desde que haja instrumento que o reconheça. Converge com o prêmio setorial de ENT-015 e com a adesão ao Pacto Global: o setor já responde a incentivo reputacional, e o município ainda não o oferece formalmente. SESSÃO SEM TCLE.",00:21:33,investimento privado|reputacao|incentivo|marca|responsabilidade,inexistente,convergente,alta
