code,axis,axis_name,subcat,subcat_name,name,priority,rank,keywords
2.6.3,2,Orçamento e Finanças,2.6,Cofinanciamento e finanças inovadoras,Mercado de carbono e ativos ambientais,Alta,3,mercado de carbono|credito de carbono|ativo ambiental|REDD|compensacao de emissoes
2.6.4,2,Orçamento e Finanças,2.6,Cofinanciamento e finanças inovadoras,"Estruturas especiais de projeto, fundos ou veículos financeiros",Alta,3,SPE|veiculo financeiro|fundo de investimento|estrutura de projeto|sociedade de proposito especifico
3.1.1,3,Dados Climáticos,3.1,Reporte de dados climáticos no nível subnacional,Sistema municipal de dados climáticos e territoriais,Muito alta,4,SIG|geoprocessamento|base de dados|sistema de informacao|cadastro territorial|dado georreferenciado|plataforma
3.1.2,3,Dados Climáticos,3.1,Reporte de dados climáticos no nível subnacional,Compartilhamento de dados com Estado/União,Alta,3,compartilhamento de dados|interoperabilidade|IAT|IBGE|SEDEST|convenio de dados|acesso a dados
3.1.3,3,Dados Climáticos,3.1,Reporte de dados climáticos no nível subnacional,Inventário municipal de GEE,Muito alta,4,inventario de GEE|emissoes municipais|Selo Clima Parana|linha de base|baseline
3.2.1,3,Dados Climáticos,3.2,Disponibilidade de dados climáticos e parcerias de análise,Parcerias com universidades e centros de pesquisa,Muito alta,4,UEM|Unicesumar|UNILIVRE|universidade|convenio de pesquisa|parceria tecnico-cientifica|estudo contratado
3.2.2,3,Dados Climáticos,3.2,Disponibilidade de dados climáticos e parcerias de análise,"Qualidade, atualização e acessibilidade dos dados climáticos",Muito alta,4,qualidade do dado|atualizacao|defasagem|cobertura|acessibilidade|dado aberto|lacuna de dados
3.2.3,3,Dados Climáticos,3.2,Disponibilidade de dados climáticos e parcerias de análise,"Dados de risco, vulnerabilidade e exposição",Muito alta,4,mapa de risco|vulnerabilidade|exposicao|estacao meteorologica|ocorrencia|historico de eventos|drenagem
3.2.4,3,Dados Climáticos,3.2,Disponibilidade de dados climáticos e parcerias de análise,Dados socioeconômicos e territoriais para adaptação inclusiva,Alta,3,dado socioeconomico|vulnerabilidade social|ZEIS|assentamento precario|populacao exposta|adaptacao inclusiva
3.2.5,3,Dados Climáticos,3.2,Disponibilidade de dados climáticos e parcerias de análise,Integração dos dados em planejamento e projetos financiáveis,Muito alta,4,uso do dado na decisao|subsidia investimento|estruturacao de projeto|priorizacao baseada em dado
4.1.1,4,Coordenação Vertical e Horizontal,4.1,Coordenação entre níveis de governo,Coordenação com Governo do Paraná/SEDEST,Muito alta,4,Governo do Parana|SEDEST|IAT|estado|articulacao estadual|Sanepar
4.1.2,4,Coordenação Vertical e Horizontal,4.1,Coordenação entre níveis de governo,Coordenação com Governo Federal,Alta,3,Governo Federal|Ministerio|MMA|MCid|Uniao|programa federal
4.1.3,4,Coordenação Vertical e Horizontal,4.1,Coordenação entre níveis de governo,"Coordenação horizontal entre IAM, IPPLAM, Fazenda, Defesa Civil, SEMOB e Educação",Muito alta,4,IPPLAM|IAM|SEMOP|SEINFRA|SEURBH|SELURB|SEGOV|Fazenda|Defesa Civil|SEMOB|intersecretarial|coordenacao interna
4.1.4,4,Coordenação Vertical e Horizontal,4.1,Coordenação entre níveis de governo,Coordenação regional/metropolitana com municípios vizinhos,Alta,3,regiao metropolitana|consorcio|CISPAR|municipio vizinho|cooperacao regional|escala regional
4.1.5,4,Coordenação Vertical e Horizontal,4.1,Coordenação entre níveis de governo,Projetos ou investimentos climáticos interinstitucionais,Alta,3,projeto interinstitucional|acao conjunta|convenio entre orgaos|grupo de trabalho
4.2.1,4,Coordenação Vertical e Horizontal,4.2,Participação pública e engajamento de atores,Participação pública na agenda climática,Alta,3,participacao publica|audiencia publica|consulta|engajamento social|educacao climatica
4.2.2,4,Coordenação Vertical e Horizontal,4.2,Participação pública e engajamento de atores,Engajamento do setor privado,Alta,3,setor privado|ACIM|CODEM|empresa|associacao empresarial|Selo Ipe|engajamento empresarial
4.2.3,4,Coordenação Vertical e Horizontal,4.2,Participação pública e engajamento de atores,"Participação de conselhos, COMDEMA e sociedade civil",Alta,3,COMDEMA|CONDEMA|conselho|controle social|sociedade civil|deliberacao|ata
4.2.4,4,Coordenação Vertical e Horizontal,4.2,Participação pública e engajamento de atores,Transparência e devolutiva das contribuições,Média/alta,3,transparencia|devolutiva|retorno|publicidade|portal|prestacao de contas
4.3.1,4,Coordenação Vertical e Horizontal,4.3,Cooperação subnacional e aprendizagem entre pares,Aprendizagem entre pares e redes nacionais,Alta,3,rede nacional|FNP|aprendizagem entre pares|boas praticas|intercambio|benchmark
4.3.2,4,Coordenação Vertical e Horizontal,4.3,Cooperação subnacional e aprendizagem entre pares,Cooperação técnica internacional e project preparation facilities,Muito alta,4,CEPAL|cooperacao tecnica internacional|project preparation facility|assistencia tecnica|GIZ|ONU
4.3.3,4,Coordenação Vertical e Horizontal,4.3,Cooperação subnacional e aprendizagem entre pares,Redes de cidades e posicionamento internacional,Alta,3,rede de cidades|C40|ICLEI|Global Covenant|COP|posicionamento internacional|visibilidade
