n,setor,subsecao,afirmacao,score,interview,ts,dim,dim_nome,maturity,confidence,termos,paraphrase,decisao,ancora_substituta,nota,orfa
5,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios","Erosão: Processos erosivos em fundos de vale e ""boçorocas"" ameaçam a infraestrutura urbana.",0.333,ENT-015,00:07:34,1.1.5,Avaliação de riscos e vulnerabilidades climáticas,em_implementacao,alta,erosao|fundos|vale,"Hierarquia oficial de risco em três níveis: vento sobre a arborização, alagamento e erosão em fundo de vale. Converge com todas as demais sessões quanto ao primeiro item — sexta confirmação de que a arborização é a vulnerabilidade central de Maringá.",,,,
5,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios","Erosão: Processos erosivos em fundos de vale e ""boçorocas"" ameaçam a infraestrutura urbana.",0.333,ENT-015,00:29:03,2.1.3,Acesso a fundos climáticos internacionais,inexistente,alta,fundos|infraestrutura|urbana,"POSIÇÃO DIVERGENTE DA PREMISSA DO PROJETO. A liderança do Executivo avalia como improvável a captação internacional para infraestrutura urbana no Brasil, por razões de justiça climática e de competição global. Converge com a crítica de ENT-008 aos editais e reorienta o plano de ação: se a leitura estiver correta, o esforço deve concentrar-se em receita própria, crédito interno e recurso privado, não em fundos internacionais. Divergência preservada.",,,,
6,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios",Abastecimento de Água: O Rio Pirapó é vulnerável a secas e inundações que afetam a captação de água.,0.125,ENT-001-ENT-002,00:15:36,2.1.2,Fontes estaduais/federais para ação climática urbana,em_implementacao,alta,captacao,"Monitoramento ativo e rotinizado de fontes federais, com filtro temático ambiental já incorporado à rotina de captação. É a condição habilitante mais consolidada que a entrevista revela — e ela é de processo, não de política.",,,,
6,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios",Abastecimento de Água: O Rio Pirapó é vulnerável a secas e inundações que afetam a captação de água.,0.125,ENT-001-ENT-002,00:48:14,2.1.3,Acesso a fundos climáticos internacionais,inexistente,alta,captacao,"Nenhuma captação internacional em dezessete anos, e o único precedente — uma operação com banco multilateral — não deixou capacidade instalada: perdeu-se com a saída da equipe. É a mesma falha de institucionalização observada em ENT-003 na parceria científica: a condição existiu na prática e não sobreviveu à troca de pessoas.",,,,
6,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios",Abastecimento de Água: O Rio Pirapó é vulnerável a secas e inundações que afetam a captação de água.,0.125,ENT-001-ENT-002,00:27:47,2.1.4,Capacidade de preparar projetos para financiamento,inexistente,alta,captacao,"Ausência declarada de carteira de projetos. A captação é feita sobre estimativas, não sobre projeto executivo — o que compromete tanto o valor pleiteado quanto o prazo de execução.",,,,
7,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios","Desafios Culturais e Técnicos: As principais barreiras são a falta de consciência e educação ambiental da população e da máquina pública, a falta de servidores qualificados e a morosidade e burocracia dos processos licitatórios.",0.294,ENT-012,00:52:47,4.2.1,Participação pública na agenda climática,inexistente,alta,ambiental|educacao|populacao|publica|tecnicos,"BARREIRA NÚMERO UM, SEGUNDO O LEGISLATIVO, COM SUA PRÓPRIA EXPLICAÇÃO. A formação é apontada como condição habilitante primeira, e imediatamente qualificada pelo desalinhamento entre o horizonte do resultado e o do mandato. Converge literalmente com ENT-009 («não dá voto») e nomeia por que a prevenção perde na disputa orçamentária. SESSÃO SEM TCLE.",,,,
7,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios","Desafios Culturais e Técnicos: As principais barreiras são a falta de consciência e educação ambiental da população e da máquina pública, a falta de servidores qualificados e a morosidade e burocracia dos processos licitatórios.",0.176,ENT-001-ENT-002,00:26:51,4.2.2,Engajamento do setor privado,inexistente,media,licitatorios|processos|publica,"O mercado local de execução ainda não está formado para obra de baixo carbono. A restrição está do lado da oferta, não só da demanda pública — o que significa que exigir critério verde em licitação, isoladamente, pode esvaziar certames.",,,,
7,Setor Público,"3.1.1. Política Climática: incorporação, riscos e desafios","Desafios Culturais e Técnicos: As principais barreiras são a falta de consciência e educação ambiental da população e da máquina pública, a falta de servidores qualificados e a morosidade e burocracia dos processos licitatórios.",0.176,ENT-003,00:42:14,1.2.2,Capacidade institucional para executar ações climáticas,em_implementacao,alta,barreiras|qualificados|servidores,"LACUNA PRINCIPAL declarada pelo participante como barreira número um, de forma espontânea e sem hesitação. Capacidade institucional insuficiente é o gargalo que limita simultaneamente preparação de projetos, captação e ampliação de instrumentos existentes.",,,,
8,Setor Público,"3.1.2. Finanças: orçamento, financiamento e captação de recursos","Orçamento Transversal e Não Segregado: O orçamento para a pauta climática é transversal, distribuído entre secretarias, sem uma rubrica específica. A priorização de recursos segue a lógica de obras em andamento ou com recursos já garantidos, não havendo uma destinação exclusiva para o clima.",0.35,ENT-001-ENT-002,00:25:45,2.2.1,Orçamento verde / climate budget tagging,inexistente,alta,clima|climatica|destinacao|especifica|obras|orcamento|rubrica,"Relato direto de dentro do ciclo de elaboração do orçamento de 2027: não há marcação climática, rubrica dedicada nem discussão específica de destinação. É a primeira evidência do corpus sobre orçamento verde — e ela é negativa, vinda de quem estava na reunião.",,,,
8,Setor Público,"3.1.2. Finanças: orçamento, financiamento e captação de recursos","Orçamento Transversal e Não Segregado: O orçamento para a pauta climática é transversal, distribuído entre secretarias, sem uma rubrica específica. A priorização de recursos segue a lógica de obras em andamento ou com recursos já garantidos, não havendo uma destinação exclusiva para o clima.",0.3,ENT-015,00:17:05,2.2.1,Orçamento verde / climate budget tagging,inexistente,alta,climatica|distribuido|especifica|orcamento|priorizacao|transversal,"EVIDÊNCIA DEFINITIVA DA DIMENSÃO. Não há unidade orçamentária nem marcação climática; o gasto existe, está distribuído em três pastas e é identificável apenas por conhecimento pessoal de quem dirige. Confirma a resposta «nenhuma» de ENT-012 e reconcilia a divergência com ENT-013: há priorização, não há rastreabilidade. Dimensão «Muito alta».",,,,
8,Setor Público,"3.1.2. Finanças: orçamento, financiamento e captação de recursos","Orçamento Transversal e Não Segregado: O orçamento para a pauta climática é transversal, distribuído entre secretarias, sem uma rubrica específica. A priorização de recursos segue a lógica de obras em andamento ou com recursos já garantidos, não havendo uma destinação exclusiva para o clima.",0.2,ENT-004,00:45:32,2.1.1,Fontes públicas municipais para ação climática urbana,em_implementacao,alta,climatica|orcamento|recursos|rubrica,"O financiamento da infraestrutura urbana — inclusive das intervenções com efeito adaptativo — vem de fonte livre do tesouro municipal. Não há fonte carimbada para a agenda climática na maior pasta executora, o que repete o padrão de ENT-003 (projeto climático custeado por rubrica ordinária).",,,,
9,Setor Público,"3.1.2. Finanças: orçamento, financiamento e captação de recursos","Capacidade de Endividamento e Financiamentos: O município tem capacidade de endividamento, mas a execução de financiamentos (ex: Banco do Brasil) é prejudicada pela falta de projetos de engenharia prontos (""na gaveta""). Este é apontado como o principal gargalo, levando à perda de prazos e oportunidades em editais.",0.25,ENT-001-ENT-002,00:29:37,2.1.4,Capacidade de preparar projetos para financiamento,inexistente,alta,capacidade|execucao|municipio|projetos|prontos,"Três perdas documentadas de janela por imaturidade de projeto, uma delas com convênio assinado há três anos e recurso garantido. A capacidade de preparação é a restrição que converte oportunidade em passivo — e é ela, não a disponibilidade de fonte, que determina o que o município consegue executar.",,,,
9,Setor Público,"3.1.2. Finanças: orçamento, financiamento e captação de recursos","Capacidade de Endividamento e Financiamentos: O município tem capacidade de endividamento, mas a execução de financiamentos (ex: Banco do Brasil) é prejudicada pela falta de projetos de engenharia prontos (""na gaveta""). Este é apontado como o principal gargalo, levando à perda de prazos e oportunidades em editais.",0.25,ENT-001-ENT-002,00:32:07,2.5.2,Histórico de operações de crédito para infraestrutura climática,em_implementacao,alta,banco|brasil|capacidade|execucao|projetos,"Há histórico de operação de crédito, mas contratado sem projeto: oito anos de contrato vivo, tarifa anual de renovação e custo de obra corrigido antes da execução. O histórico de crédito, isoladamente, não indica capacidade de investimento.",,,,
9,Setor Público,"3.1.2. Finanças: orçamento, financiamento e captação de recursos","Capacidade de Endividamento e Financiamentos: O município tem capacidade de endividamento, mas a execução de financiamentos (ex: Banco do Brasil) é prejudicada pela falta de projetos de engenharia prontos (""na gaveta""). Este é apontado como o principal gargalo, levando à perda de prazos e oportunidades em editais.",0.2,ENT-001-ENT-002,00:27:47,2.1.4,Capacidade de preparar projetos para financiamento,inexistente,alta,banco|capacidade|execucao|projetos,"Ausência declarada de carteira de projetos. A captação é feita sobre estimativas, não sobre projeto executivo — o que compromete tanto o valor pleiteado quanto o prazo de execução.",,,,
10,Setor Público,"3.1.2. Finanças: orçamento, financiamento e captação de recursos","Esforços e Mecanismos de Captação: A prefeitura busca recursos via Transfer GOV, estuda parcerias público-privadas e concessões, e explora recursos internacionais via plataforma Exitos. No entanto, a falta de uma equipe técnica dedicada à captação é um grande limitador. A criação de um ""Núcleo de Captação"" é defendida como solução.",0.16,ENT-001-ENT-002,00:48:14,2.1.3,Acesso a fundos climáticos internacionais,inexistente,alta,captacao|equipe|internacionais|recursos,"Nenhuma captação internacional em dezessete anos, e o único precedente — uma operação com banco multilateral — não deixou capacidade instalada: perdeu-se com a saída da equipe. É a mesma falha de institucionalização observada em ENT-003 na parceria científica: a condição existiu na prática e não sobreviveu à troca de pessoas.",,,,
10,Setor Público,"3.1.2. Finanças: orçamento, financiamento e captação de recursos","Esforços e Mecanismos de Captação: A prefeitura busca recursos via Transfer GOV, estuda parcerias público-privadas e concessões, e explora recursos internacionais via plataforma Exitos. No entanto, a falta de uma equipe técnica dedicada à captação é um grande limitador. A criação de um ""Núcleo de Captação"" é defendida como solução.",0.16,ENT-001-ENT-002,00:33:13,2.4.2,"PPPs/concessões verdes para resíduos, mobilidade e infraestrutura",em_elaboracao,media,concessoes|parcerias|privadas|publico,"PPPs e concessões estão em exploração inicial, atribuídas a uma pessoa no instituto de planejamento e a uma intenção da liderança. Não há modelagem, PMI ou chamamento em curso — o instrumento está no campo da ideia.",,,,
10,Setor Público,"3.1.2. Finanças: orçamento, financiamento e captação de recursos","Esforços e Mecanismos de Captação: A prefeitura busca recursos via Transfer GOV, estuda parcerias público-privadas e concessões, e explora recursos internacionais via plataforma Exitos. No entanto, a falta de uma equipe técnica dedicada à captação é um grande limitador. A criação de um ""Núcleo de Captação"" é defendida como solução.",0.16,ENT-003,00:40:49,2.1.4,Capacidade de preparar projetos para financiamento,inexistente,alta,busca|captacao|dedicada|recursos,"LACUNA ESTRUTURAL. Não existe unidade dedicada à estruturação de projetos e captação; a busca de recursos é reativa, personalizada na chefia e oportunista (inscrição em prêmios quando surgem). Dimensão com prioridade «Muito alta» e classificada pelo Produto 2 como ponto crucial da avaliação.",,,,
11,Setor Público,"3.1.2. Finanças: orçamento, financiamento e captação de recursos","Incentivos Fiscais: O ""IPTU Verde"" existe, mas é pouco divulgado, restrito a residências e passa por reestruturação. Sugere-se a criação de um ""IPTU Verde Empresarial"" como ferramenta de financiamento.",0.286,ENT-012,00:44:36,2.4.1,Mobilização de investimento privado em infraestrutura climática,inexistente,alta,empresarial|financiamento|iptu|verde,"ACHADO ESTRUTURANTE. Desenho de instrumento que converte renúncia futura de IPTU em investimento privado antecipado em infraestrutura climática, capturando o diferencial de custo de execução privada. É financiamento antecipado com contrapartida em obra — e responde diretamente à crítica que o próprio participante faz ao IPTU Verde atual. Converge com a proposta de compensação por intervenção de ENT-004 e merece exame jurídico-fiscal no Roadmap. SESSÃO SEM TCLE.",,,,
11,Setor Público,"3.1.2. Finanças: orçamento, financiamento e captação de recursos","Incentivos Fiscais: O ""IPTU Verde"" existe, mas é pouco divulgado, restrito a residências e passa por reestruturação. Sugere-se a criação de um ""IPTU Verde Empresarial"" como ferramenta de financiamento.",0.214,ENT-015,00:18:24,2.4.1,Mobilização de investimento privado em infraestrutura climática,regulamentado,alta,empresarial|iptu|verde,"ACHADO ESTRUTURANTE, JÁ EM VIGOR. Conversão de outorga onerosa em obra climática executada pelo empreendedor, com parte da legislação já aprovada. Responde exatamente à proposta espontânea de ENT-004 («receber intervenções em vez de dinheiro») e ao IPTU Verde empresarial de ENT-012 — três formulações independentes do mesmo mecanismo, e esta já é lei. É a condição habilitante mais avançada identificada em Maringá.",,,,
11,Setor Público,"3.1.2. Finanças: orçamento, financiamento e captação de recursos","Incentivos Fiscais: O ""IPTU Verde"" existe, mas é pouco divulgado, restrito a residências e passa por reestruturação. Sugere-se a criação de um ""IPTU Verde Empresarial"" como ferramenta de financiamento.",0.143,ENT-001-ENT-002,00:33:13,2.3.1,Mobilização de receitas próprias para clima,regulamentado,alta,iptu|verde,"Divergência com ENT-003, que descreve o IPTU Verde como regulamentado, com fila de pedidos e proposta de ampliação pronta. O conflito não é sobre a existência do instrumento, e sim sobre seu alcance: um servidor da administração central, que lida diariamente com captação, não sabe como ele funciona. O instrumento de receita própria mais relevante da agenda climática municipal não circula fora do órgão ambiental — o que qualifica a barreira administrativa relatada em ENT-003 como sendo também de difusão interna.",,,,
12,Setor Público,"3.1.2. Finanças: orçamento, financiamento e captação de recursos","Resistência e Viabilidade: Há resistência do setor financeiro da prefeitura em ""carimbar"" recursos. A captação de fundos internacionais para infraestrutura urbana é vista com ceticismo devido às obrigações de mitigação do Brasil, sendo defendido a necessidade de uma taxa de drenagem como fonte de receita, mas com sua aprovação politicamente inviável.",0.286,ENT-015,00:29:03,2.1.3,Acesso a fundos climáticos internacionais,inexistente,alta,brasil|captacao|fundos|infraestrutura|internacionais|receita|recursos|urbana,"POSIÇÃO DIVERGENTE DA PREMISSA DO PROJETO. A liderança do Executivo avalia como improvável a captação internacional para infraestrutura urbana no Brasil, por razões de justiça climática e de competição global. Converge com a crítica de ENT-008 aos editais e reorienta o plano de ação: se a leitura estiver correta, o esforço deve concentrar-se em receita própria, crédito interno e recurso privado, não em fundos internacionais. Divergência preservada.",,,,
12,Setor Público,"3.1.2. Finanças: orçamento, financiamento e captação de recursos","Resistência e Viabilidade: Há resistência do setor financeiro da prefeitura em ""carimbar"" recursos. A captação de fundos internacionais para infraestrutura urbana é vista com ceticismo devido às obrigações de mitigação do Brasil, sendo defendido a necessidade de uma taxa de drenagem como fonte de receita, mas com sua aprovação politicamente inviável.",0.214,ENT-015,00:18:24,2.1.5,Estratégia financeira para adaptação e resiliência,em_elaboracao,alta,drenagem|financeiro|fonte|infraestrutura|receita|sendo,"DIAGNÓSTICO FINANCEIRO PRECISO. A drenagem é o único componente da infraestrutura de saneamento sem receita vinculada, e por isso depende de financiamento. Define a estratégia financeira de adaptação de Maringá e converge com a preferência por operação de crédito de porte manifestada em ENT-008. Dimensão «Muito alta».",,,,
12,Setor Público,"3.1.2. Finanças: orçamento, financiamento e captação de recursos","Resistência e Viabilidade: Há resistência do setor financeiro da prefeitura em ""carimbar"" recursos. A captação de fundos internacionais para infraestrutura urbana é vista com ceticismo devido às obrigações de mitigação do Brasil, sendo defendido a necessidade de uma taxa de drenagem como fonte de receita, mas com sua aprovação politicamente inviável.",0.179,ENT-001-ENT-002,00:47:13,2.1.5,Estratégia financeira para adaptação e resiliência,em_elaboracao,alta,captacao|prefeitura|recursos|sendo|setor,"Não existe unidade de captação: a função está sendo montada informalmente dentro da secretaria de governo, apoiada em uma pessoa com dois meses de casa. Converge com ENT-003, que registrou a mesma ausência a partir do órgão ambiental — a lacuna é da estrutura, não de um órgão.",,,,
13,Setor Público,"3.1.3. Dados, Monitoramento e Planejamento","Lacuna de Dados Integrados: A falta de um sistema centralizado e integrado de dados é um gargalo crítico. As informações estão dispersas, muitas vezes em estudos acadêmicos, e o conhecimento técnico sobre infraestrutura é, em grande parte, empírico, obtido por profissionais que vão a campo.",0.261,ENT-003,00:19:17,3.2.5,Integração dos dados em planejamento e projetos financiáveis,em_implementacao,alta,dados|gargalo|lacuna|muitas|tecnico|vezes,LACUNA DE CONVERSÃO. O gargalo não está no diagnóstico do risco (que existe há tempo) mas na tradução do dado em solução técnica e economicamente viável. É precisamente a fronteira entre o eixo Dados e o eixo Finanças: dado sem capacidade de engenharia não gera projeto financiável.,,,,
13,Setor Público,"3.1.3. Dados, Monitoramento e Planejamento","Lacuna de Dados Integrados: A falta de um sistema centralizado e integrado de dados é um gargalo crítico. As informações estão dispersas, muitas vezes em estudos acadêmicos, e o conhecimento técnico sobre infraestrutura é, em grande parte, empírico, obtido por profissionais que vão a campo.",0.217,ENT-013,00:23:04,3.1.1,Sistema municipal de dados climáticos e territoriais,inexistente,alta,dados|informacoes|integrado|lacuna|sistema,"A lacuna de sistema integrado é apresentada como padrão nacional das defesas civis municipais, e não como falha local. Reposiciona a recomendação: Maringá pode se posicionar como referência ao resolvê-la, o que dialoga com o capital reputacional apontado em ENT-005, ENT-007 e ENT-012.",,,,
13,Setor Público,"3.1.3. Dados, Monitoramento e Planejamento","Lacuna de Dados Integrados: A falta de um sistema centralizado e integrado de dados é um gargalo crítico. As informações estão dispersas, muitas vezes em estudos acadêmicos, e o conhecimento técnico sobre infraestrutura é, em grande parte, empírico, obtido por profissionais que vão a campo.",0.217,ENT-008,00:30:37,3.1.1,Sistema municipal de dados climáticos e territoriais,em_implementacao,alta,dados|lacuna|muitas|sistema|vezes,"Existe portal geoespacial municipal com camadas utilizáveis em escala de planejamento e insuficientes em escala de intervenção. Qualifica a lacuna registrada em ENT-004: o problema não é ausência de sistema, é resolução — e é justamente na escala da rua que o projeto de drenagem se define.",,,,
14,Setor Público,"3.1.3. Dados, Monitoramento e Planejamento","Esforços em Andamento: A prefeitura está realizando investimentos significativos para superar essa lacuna, incluindo:",0.333,ENT-013,00:22:00,3.1.1,Sistema municipal de dados climáticos e territoriais,em_elaboracao,alta,andamento|lacuna|prefeitura,"LACUNA CONFIRMADA, COM TRABALHO EM ANDAMENTO. Não existe base compartilhada de áreas de risco na prefeitura, e há desenvolvimento em curso com a área de tecnologia. Converge com ENT-004, ENT-008 e ENT-010-ENT-011 — e mostra que a construção começou. Dimensão «Muito alta».",,,,
14,Setor Público,"3.1.3. Dados, Monitoramento e Planejamento","Esforços em Andamento: A prefeitura está realizando investimentos significativos para superar essa lacuna, incluindo:",0.222,ENT-001-ENT-002,00:47:13,2.1.5,Estratégia financeira para adaptação e resiliência,em_elaboracao,alta,lacuna|prefeitura,"Não existe unidade de captação: a função está sendo montada informalmente dentro da secretaria de governo, apoiada em uma pessoa com dois meses de casa. Converge com ENT-003, que registrou a mesma ausência a partir do órgão ambiental — a lacuna é da estrutura, não de um órgão.",,,,
14,Setor Público,"3.1.3. Dados, Monitoramento e Planejamento","Esforços em Andamento: A prefeitura está realizando investimentos significativos para superar essa lacuna, incluindo:",0.222,ENT-001-ENT-002,00:43:26,2.3.4,Sustentabilidade fiscal para investimentos climáticos recorrentes,inexistente,alta,andamento|investimentos,Caso extremo do mecanismo anterior: uma contrapartida que era zero chegou a treze milhões por decurso de prazo. Quantifica o custo fiscal da imaturidade de projeto e mostra que ele não é hipotético nem marginal.,,,,
15,Setor Público,"3.1.3. Dados, Monitoramento e Planejamento","Contrato com a UNILIVRE: Desenvolvimento de um projeto estratégico para diagnosticar vulnerabilidades, cruzar dados e criar um plano de enfrentamento às mudanças climáticas.",0.571,ENT-003,00:12:51,1.1.4,Estratégia de adaptação com metas claras,em_elaboracao,alta,climaticas|contrato|enfrentamento|estrategico|mudancas|plano|projeto|unilivre,"A estratégia municipal de adaptação está terceirizada em um contrato de consultoria de 18 meses com ICT externa, com três metas e entrega de um «projeto estratégico de enfrentamento às mudanças climáticas». Não existe ainda instrumento próprio de adaptação com metas formalizadas: a condição habilitante depende da entrega do contrato.",,,,
15,Setor Público,"3.1.3. Dados, Monitoramento e Planejamento","Contrato com a UNILIVRE: Desenvolvimento de um projeto estratégico para diagnosticar vulnerabilidades, cruzar dados e criar um plano de enfrentamento às mudanças climáticas.",0.357,ENT-008,00:22:43,1.1.4,Estratégia de adaptação com metas claras,em_elaboracao,alta,climaticas|contrato|enfrentamento|mudancas|plano,"Confirmação, no nível de direção, de que o instrumento de adaptação do município é objeto de contrato em execução. Converge com ENT-003 e ENT-004 e fecha a leitura: em setembro de 2026 Maringá não tem política climática própria — tem um contrato que a produzirá.",,,,
15,Setor Público,"3.1.3. Dados, Monitoramento e Planejamento","Contrato com a UNILIVRE: Desenvolvimento de um projeto estratégico para diagnosticar vulnerabilidades, cruzar dados e criar um plano de enfrentamento às mudanças climáticas.",0.286,ENT-003,00:17:40,1.1.5,Avaliação de riscos e vulnerabilidades climáticas,em_implementacao,alta,climaticas|enfrentamento|projeto|vulnerabilidades,"Há identificação prévia e consensual dos dois riscos prioritários (erosão e alagamento), independente do estudo em curso. A evidência sustenta que o conhecimento do risco existe e antecede a formalização metodológica.",,,,
16,Setor Público,"3.1.3. Dados, Monitoramento e Planejamento",Levantamentos Próprios: Contratação de robôs para mapeamento da rede de drenagem subterrânea e aquisição de 20 miniestações meteorológicas para previsibilidade climática.,0.308,ENT-015,00:12:31,3.2.3,"Dados de risco, vulnerabilidade e exposição",em_elaboracao,alta,contratacao|meteorologicas|previsibilidade|rede,"ACHADO DECISIVO. Rede própria de vinte estações meteorológicas em contratação, com previsão contratada de três dias. É a primeira capacidade de monitoramento climático em tempo real da cidade, e ataca diretamente a lacuna «Muito alta» de dados de risco. Converge com o achado de ENT-003 sobre dados meteorológicos primários já em circulação — a diferença é que aqui a capacidade passa a ser municipal e formalizada.",,,,
